ČeskoMoravská Kynologická Unie

# Č esko m oravská k ynologická u nie

## Novinky a upozornění

| 14.8. | Výběrové řízení – nový infor... |
| --- | --- |
| 10.8. | Interdog Bohemia-POZOR ZMĚNA |
| 9.8. | Centrální evidence psů- chov... |
| 3.8. | Byl přidán zápis řádného zas... |
| 9.7. | Vzteklina v Evropě zabíjí. |
| 29.6. | Smutná zpráva |

# Seznam plemen

Na této stránce naleznete seznam všech plemen - standardů. Časem bude u každého plemene doplněn popis a fotografie. Kliknutím na detail plemene se dozvíte které kluby plemeno spravují a které pracoviště plemenné knihy provádí zápisy.

| Číslo FCI | Název | Originální název |
| 339 | Parson Russell Teriér | Parson Russell Terrier |
| 916 | Patterdale terier | Patterdale Terrier |
| 207 | Pekingský palácový psík | Pekingese |
| 249 | Perro de Presa Mallorquin | Perro de Presa Mallorquin |
| 310 | Peruánský naháč | Perro Sin Pelo del Perú |
| 077 | Phaléne | Phaléne - Epagneul Nain Continental |
| 108 | Pikardský ohař dlouhosrstý | Epagneul Picard |
| 176 | Pikardský ovčák | Berger de Picardie |
| 036 | Plavý bretaňský basset | Basset Fauve de Bretagne |
| 066 | Plavý bretaňský honič | Griffon Fauve de Bretagne |
| 940 | Plott Hound | Plott Hound |
| 252 | Podhalaňský ovčák | Polski Owczarek Podhalanski |
| 001 | Pointer | English Pointer |
| 024 | Poitevin | Poitevin |
| 333 | Polský chrt | Chart Polski |
| 354 | Polský honič | Gończy Polski |
| 936 | Polský lovecký španěl | Polish Hunting Spaniel |
| 052 | Polský ogar | Polski ogar |
| 251 | Polský ovčák nížinný | Polski Owczarek Nizinny |
| 030 | Porcelán | Porcelaine |
| 187 | Portugalský ohař | Perdiguero Portugués |
| 094 | Portugalský podengo | Podengo Portugues |
| 037 | Portugalský vodní pes | Cao de Aqua |
| 154 | Posávský honič | Posavski Gonič |
| 363 | Pražský krysařík | Pražský krysařík |
| 346 | Presa Canario | Presa Canario |
| 172 | Pudl | Caniche |
| 216 | Pudlpointr | Pudelpointer |
| 055 | Puli | Puli |
| 056 | Pumi | Pumi |
| 137 | Pyrenejský horský pes | Chien de Montagne des Pyrénées |
| 092 | Pyrenejský mastin | Mastin de los Pirineos |
| 141 | Pyrenejský ovčák s dl. srstí v obličeji | Berger des Pyrénées á poil long |
| 138 | Pyrenejský ovčák s kr.srstí v obličeji | Chien de Berger des Pyrénées á face rase |
| 096 | Rafeiro do Alentejo | Rafeiro do Alentejo |
| 063 | Rakouský krátkosrstý honič | Brandlbracke |
| 064 | Rakouský krátkosrstý pinč | Oesterreichischer Kurzhaariger Pinscher |
| 214 | Řecký honič | Hellinikos Ichnilatis |
| 926 | Redbone Coonhound | Redbone Coonhound |
| 146 | Rhodéský ridgeback | Rhodesian ridgeback |
| 147 | Rotvajler | Rottweiler |
| 350 | Rumunský karpatský ovčák | Ciobanesc Romanesc Carpatin |
| 349 | Rumunský mioritský ovčák | Ciobanesc Romanesc Mioritic |
| 357 | Rumunský ovčák - Bucovina | Ciobanesc Romanesc de Bucovina |
| 917 | Ruská barevná bolonka | Russkaya cvetnaja bolonka |
| 304 | Ruskoevropská lajka | Laika Russko-Evropeiskaia |
| 327 | Ruský černý terier | Russkiy Tchiorny Terrier |
| 352 | Ruský toy | Russkiy toy |
| 311 | Saarloosův vlčák | Saarloos Wolfhond |
| 115 | Saint-Germainský ohař krátkosrstý | Braque Saint-Germain |
| 269 | Saluki - Perský chrt | Saluki |
| 212 | Samojed | Samoyede |
| 131 | Schillerův honič | Schillerstövare |
| 074 | Sealyham terier | Sealyham Terrier |
| 241 | Sedmihradský honič | Erdélyi kopó |
| 309 | Shar-Pei | Shar Pei |
| 088 | Sheltie | Shetland Sheepdog |
| 257 | Shiba | Shiba |
| 208 | Shih-tzu | Shih Tzu |
| 319 | Shikoku | Shikoku |
| 270 | Sibiřský husky | Siberian Husky |
| 199 | Sicilský chrt | Cirneco dell Etna |
| 073 | Skotský teriér | Scottish terrier |
| 075 | Skye terier | Skye Terrier |
| 188 | Sloughi | Sloughi |
| 142 | Slovenský čuvač | Slovenský čuvač |
| 244 | Slovenský kopov | Slovenský kopov |
| 320 | Slovenský ohař hrubosrstý | Slovenský hrubosrstý stavač |
| 129 | Smalandský honič | Smalandsstövare |
| 150 | Srbský honič | Srpski Gonič |
| 229 | Srbský trikolorní honič | Srpski Trojbojni Gonič |
| 076 | Stafordšírský bullterier | Staffordshire Bullterrier |
| 335 | Středoasijský pastevecký pes | Sredneasiatskaia Ovtcharka |
| 127 | Sussex španěl | Sussex Spaniel |
| 061 | Svatobernardský pes | St. Bernardshund |
| 061 | Svatobernardský pes krátkosrstý | St. Bernardshund Kurzhaaring |
| 041 | Šarplaninský pastevecký pes | Jugoslavenski Ovcarski Pas - Sarplaninac |
| 083 | Šiperka | Schipperke |
| 285 | Španělský galgo | Galgo Espaňol |
| 091 | Španělský mastin | Mastín Espaňol |
| 204 | Španělský sabueso | Sabueso Espaňol |
| 336 | Španělský vodní pes | Perro de Aqua |
| 062 | Štýrský brakýř | Steirische Rauhhaarbracke |
| 135 | Švédský laponský pes | Svensk Lapphund |
| 014 | Švédský vallhund | Västgötaspets |
| 059 | Švýcarský honič | Schweizer Laufhund |
| 060 | Švýcarský nízkonohý honič | Schweizer Niederlaufhund |
| 348 | Taiwanský pes | Taiwan Dog |
| 933 | Tatranský honič | Tatranský durič |
| 358 | Thai Bangkaew dog | Thai Bangkaew dog |
| 338 | Thajský ridgeback | Thailand-Ridgeback |
| 230 | Tibetská doga | Tibetan Mastiff |
| 231 | Tibetský španěl | Tibetan Spaniel |
